gamma,sc_wb_q,fc_wb_q,sc_cd_q,fc_cd_q
0.5,0.8399011950656786,0.7237102376718849,0.8463844524638445,0.7738892777388927
0.6,0.9497033489928318,0.7237102376718849,0.7756243243600168,0.7738892777388927
0.7,0.7237102376718849,0.7237102376718849,0.7738892777388927,0.7738892777388927
0.8,0.7756243243600168,0.7756243243600168,0.7531587266805233,0.7756243243600168
0.9,0.7237102376718849,0.7756243243600168,0.7756243243600168,0.7237102376718849
1.0,0.984278621318196,0.7746176202051925,0.7756243243600168,0.7756243243600168
1.1,0.9497033489928318,0.7756243243600168,0.7756243243600168,0.6021484808040934
1.2,0.7756243243600168,0.9932006799320068,0.7756243243600168,0.7237102376718849
1.3,0.7756243243600168,0.7756243243600168,0.7756243243600168,0.7237102376718849
1.4,0.7756243243600168,0.7756243243600168,0.7756243243600168,0.7237102376718849
1.5,0.8463844524638445,0.7682369018000159,0.7756243243600168,0.7237102376718849
1.6,0.7756243243600168,0.4109303355378748,0.7756243243600168,0.6149785021497849
1.7,0.7756243243600168,0.5160983901609839,0.7756243243600168,0.7738892777388927
1.8,0.7756243243600168,0.6021484808040934,0.7756243243600168,0.7756243243600168
1.9,0.8832161828862158,0.5160983901609839,0.7756243243600168,0.7738892777388927
2.0,0.7756243243600168,0.4109303355378748,0.7682369018000159,0.6149785021497849
2.1,0.7756243243600168,0.4109303355378748,0.7738892777388927,0.6021484808040934
2.2,0.7756243243600168,0.4109303355378748,0.7756243243600168,0.6021484808040934
2.3,0.7756243243600168,0.5160983901609839,0.7738892777388927,0.6149785021497849
2.4,0.9353450619850296,0.5160983901609839,0.7237102376718849,0.6021484808040934
2.5,0.8399011950656786,0.5160983901609839,0.7756243243600168,0.6149785021497849
2.6,0.7738892777388927,0.5160983901609839,0.7756243243600168,0.7237102376718849
2.7,0.7756243243600168,0.5160983901609839,0.7756243243600168,0.7237102376718849
2.8,0.9897839484344249,0.5160983901609839,0.7756243243600168,0.7237102376718849
2.9,0.9789854347898543,0.6021484808040934,0.7756243243600168,0.6149785021497849
3.0,0.9178403588212608,0.6149785021497849,0.7756243243600168,0.6255374462553744
3.1,0.984278621318196,0.6149785021497849,0.7756243243600168,0.5160983901609839
3.2,0.9497033489928318,0.7627820551278205,0.7756243243600168,0.5229359416999476
3.3,0.9497033489928318,0.7237102376718849,0.7756243243600168,0.4109303355378748
3.4,0.9237624910075365,0.7682369018000159,0.7756243243600168,0.4109303355378748
3.5,0.9497033489928318,0.7756243243600168,0.7756243243600168,0.4109303355378748
