,pval,stat,qval
Lag1eROIv_vs_FC,0.0021997800219978004,-0.26583417917539326,0.006049395060493951
Lag1eROIv_vs_FC_zED,9.999000099990002e-05,-0.2634562526665862,0.0005499450054994501
Lag1eROIv_FCK_vs_FC_zED,9.999000099990002e-05,-0.19870509794742067,0.0005499450054994501
Lag1eROIv_FCK_RE_vs_FC_zED,0.0013998600139986002,-0.11830353311800405,0.005132820051328201
Lag1eROIv_vs_SC,0.12018798120187982,-0.08954809272276748,0.16525847415258474
Lag1eROIv_vs_SC_zED,0.17598240175982402,-0.054951502491843635,0.215089602150896
Lag1eROIv_vs_SC_zED_bin,0.05119488051194881,-11.785477589264282,0.09385728093857282
Lag1eROIv_SCK_vs_SC_zED,0.26177382261773824,-0.04637269142683436,0.26177382261773824
Lag1eROIv_SCK_vs_SC_zED_bin,0.09319068093190681,-10.325354988247,0.14644249860728215
Lag1eROIv_SCK_RE_vs_SC_zED,0.0367963203679632,-0.08081359636776328,0.08095190480951904
Lag1eROIv_SCK_RE_vs_SC_zED_bin,0.23767623237676233,-5.197843146795796,0.26144385561443856
