,q-value
sc_pc_0.5,0.31796820317968205
sc_pc_0.6,0.4029135547983663
sc_pc_0.7,0.7567627237276272
sc_pc_0.8,0.7854214578542146
sc_pc_0.9,0.2160479604213492
sc_pc_1.0,0.005332800053328001
sc_pc_1.1,0.006677593110254192
sc_pc_1.2,0.004772404115520652
sc_pc_1.3,0.003885325753138972
sc_pc_1.4,0.0025095529662720003
sc_pc_1.5,0.0046340193566850214
sc_pc_1.6,0.005455192185699462
sc_pc_1.7,0.006303847227217577
sc_pc_1.8,0.0026563381397709286
sc_pc_1.9,0.0025095529662720003
sc_pc_2.0,0.0019909120199091204
sc_pc_2.1,0.0055736361847686195
sc_pc_2.2,0.005907101597532554
sc_pc_2.3,0.0035552000355520003
sc_pc_2.4,0.006765037781936092
sc_pc_2.5,0.002225864370084731
sc_pc_2.6,0.0008257238792249808
sc_pc_2.7,0.0008257238792249808
sc_pc_2.8,0.0010377340644313947
sc_pc_2.9,0.0010377340644313947
sc_pc_3.0,0.0010377340644313947
sc_pc_3.1,0.001488223270696186
sc_pc_3.2,0.0012189257264749716
sc_pc_3.3,0.0005817600058176
sc_pc_3.4,0.0008257238792249808
sc_pc_3.5,0.0005817600058176
fc_pc_0.5,0.6645735426457354
fc_pc_0.6,0.6645735426457354
fc_pc_0.7,0.6645735426457354
fc_pc_0.8,0.5503449655034497
fc_pc_0.9,0.4981216164097876
fc_pc_1.0,0.4127282509844254
fc_pc_1.1,0.4365785643657856
fc_pc_1.2,0.5118365356446811
fc_pc_1.3,0.7603649083910506
fc_pc_1.4,0.7603649083910506
fc_pc_1.5,0.7233375023153423
fc_pc_1.6,0.4807014794016094
fc_pc_1.7,0.3763340837633408
fc_pc_1.8,0.3984999558296598
fc_pc_1.9,0.47366899673668994
fc_pc_2.0,0.37286067311636184
fc_pc_2.1,0.37286067311636184
fc_pc_2.2,0.38521638032275207
fc_pc_2.3,0.4365785643657856
fc_pc_2.4,0.47308296693266455
fc_pc_2.5,0.3815539238155392
fc_pc_2.6,0.28769888968549956
fc_pc_2.7,0.314309621669412
fc_pc_2.8,0.28769888968549956
fc_pc_2.9,0.3815539238155392
fc_pc_3.0,0.42561781557693285
fc_pc_3.1,0.49824398091164335
fc_pc_3.2,0.6427801664278017
fc_pc_3.3,0.5758320719652172
fc_pc_3.4,0.6993813015392676
fc_pc_3.5,0.7445965080911264
sc_wd_0.5,0.0005817600058176
sc_wd_0.6,0.0005817600058176
sc_wd_0.7,0.0037232640372326406
sc_wd_0.8,0.0017452800174528002
sc_wd_0.9,0.0012189257264749716
sc_wd_1.0,0.0025095529662720003
sc_wd_1.1,0.0026563381397709286
sc_wd_1.2,0.005907101597532554
sc_wd_1.3,0.0060115200601152
sc_wd_1.4,0.007363647196924144
sc_wd_1.5,0.0127987201279872
sc_wd_1.6,0.012798720127987202
sc_wd_1.7,0.011967634405390629
sc_wd_1.8,0.020686303462676987
sc_wd_1.9,0.00404170109304859
sc_wd_2.0,0.005688320056883201
sc_wd_2.1,0.00938572809385728
sc_wd_2.2,0.01128308221809398
sc_wd_2.3,0.016864195933347842
sc_wd_2.4,0.014203457703010187
sc_wd_2.5,0.05745203257452033
sc_wd_2.6,0.016150765875793373
sc_wd_2.7,0.016150765875793373
sc_wd_2.8,0.007363647196924144
sc_wd_2.9,0.007955961160640693
sc_wd_3.0,0.006399360063993601
sc_wd_3.1,0.012470547817013171
sc_wd_3.2,0.007363647196924144
sc_wd_3.3,0.05320816232983443
sc_wd_3.4,0.0442137604421376
sc_wd_3.5,0.0127987201279872
fc_wd_0.5,0.0012189257264749716
fc_wd_0.6,0.0010377340644313947
fc_wd_0.7,0.0010377340644313947
fc_wd_0.8,0.0005817600058176
fc_wd_0.9,0.0005817600058176
fc_wd_1.0,0.0005817600058176
fc_wd_1.1,0.0005817600058176
fc_wd_1.2,0.0005817600058176
fc_wd_1.3,0.0005817600058176
fc_wd_1.4,0.0005817600058176
fc_wd_1.5,0.0005817600058176
fc_wd_1.6,0.0008257238792249808
fc_wd_1.7,0.0005817600058176
fc_wd_1.8,0.0005817600058176
fc_wd_1.9,0.0008257238792249808
fc_wd_2.0,0.0025095529662720003
fc_wd_2.1,0.0005817600058176
fc_wd_2.2,0.0005817600058176
fc_wd_2.3,0.0005817600058176
fc_wd_2.4,0.0008257238792249808
fc_wd_2.5,0.0008257238792249808
fc_wd_2.6,0.0005817600058176
fc_wd_2.7,0.0008257238792249808
fc_wd_2.8,0.0008257238792249808
fc_wd_2.9,0.0005817600058176
fc_wd_3.0,0.0005817600058176
fc_wd_3.1,0.0005817600058176
fc_wd_3.2,0.0012189257264749716
fc_wd_3.3,0.0010377340644313947
fc_wd_3.4,0.0024508187479124425
fc_wd_3.5,0.0012189257264749716
sc_strength,0.0005817600058176
fc_strength,0.02795122786571918
myelin,0.731816249269382
thickness,0.10295234212842452
